Action and adventure,Fiction
Alternate history,Fiction
Anthology,Fiction
Chick lit,Fiction
Children's,Fiction
Comic book,Fiction
Coming-of-age,Fiction
Crime,Fiction
Drama,Fiction
Fairytale,Fiction
Fantasy,Fiction
Graphic novel,Fiction
Historical fiction,Fiction
Horror,Fiction
Mystery,Fiction
Paranormal romance,Fiction
Picture book,Fiction
Poetry,Fiction
Political thriller,Fiction
Romance,Fiction
Satire,Fiction
Science fiction,Fiction
Short story,Fiction
Suspense,Fiction
Thriller,Fiction
Young adult,Fiction
Art,Non Fictional
Autobiography,Non Fictional
Biography,Non Fictional
Book review,Non Fictional
Cookbook,Non Fictional
Diary,Non Fictional
Dictionary,Non Fictional
Encyclopedia,Non Fictional
Guide,Non Fictional
Health,Non Fictional
History,Non Fictional
Journal,Non Fictional
Math,Non Fictional
Memoir,Non Fictional
Prayer,Non Fictional
"Religion, spirituality, and new age",Non Fictional
Textbook,Non Fictional
Review,Non Fictional
Science,Non Fictional
Self help,Non Fictional
Travel,Non Fictional
True crime,Non Fictional
